id, type, accessories
0, maxibiz, chinstrap / tophat / goldchain
1, black, bob / lasereyes2-red
2, default, capforward / earring / skigoogles
3, human1, chinstrap-light / wizardhat / earring / lasereyes3-green
4, human2, chinstrap / cowboyhat / vr
5, human3, headband / lasereyes3-green
6, orange, mohawk2-blonde / clowneyes / clownnose
7, zombie, mohawk-purple
8, orc, chinstrap-light / wildhair-red / classicshades
9, alien, bandana / eyemask
10, pink, bob-blonde / headband / earring
11, maxibiz, bandana2
12, black, lasereyes-blue
13, default, luxuriousbeard / mohawk2 / clowneyes / clownnose
14, human1, wildhair-red
15, human2, chinstrap-light / mohawk2-blonde / earring / eyepatch
16, human3, mohawk-purple / clowneyes / clownnose
17, orange, beard / cap3 / 3dglasses
18, zombie, luxuriousbeard-light / wizardhat / lasereyes3-green
19, orc, luxuriousbeard-light / goldchain / 3dglasses
20, alien, hoodie / lasereyes3-red
21, pink, jesterhat / earring
22, maxibiz, mohawk2 / lasereyes-blue
23, black, mohawk2 / goldchain
24, default, mohawk / clowneyes / clownnose
25, human1, eyepatch
26, human2, wildhair-purple
27, human3, chinstrap / eyepatch
28, orange, mohawk2-red
29, zombie, mohawk2-blonde / vr
30, orc, goat / wildhair-red / skigoogles
31, alien, mohawk2-red / skigoogles
32, pink, peakspike-blonde / bigshades
33, maxibiz, mohawk / clowneyes / clownnose
34, black, mohawk / lasereyes2-gold
35, default, beard / knittedcap / goldchain / lasereyes2-blue
36, human1, peakspike / clowneyes / clownnose
37, human2, goat / cowboyhat / skigoogles
38, human3, chinstrap / beanie
39, orange, cowboyhat / lasereyes3-gold
40, zombie, goat / wildhair-blonde / classicshades
41, orc, tophat / lasereyes3-green
42, alien, crown / 3dglasses
43, pink, earring / eyepatch
44, maxibiz, cap2 / eyemask
45, black, bandana2 / lasereyes2-blue
46, default, chinstrap / bob / earring
47, human1, chinstrap / crown / eyepatch
48, human2, bandana2 / eyemask
49, human3, wildhair-red / coolshades
50, orange, luxuriousbeard / crown / vr
51, zombie, bandana2 / lasereyes3-green
52, orc, wildhair-blonde / goldchain / eyepatch
53, alien, lasereyes3-green
54, pink, peakspike-blonde / goldchain / classicshades
55, maxibiz, bob / eyepatch
56, black, peakspike / lasereyes2-blue
57, default, hoodie
58, human1, knittedcap / eyemask
59, human2, hoodie / goldchain / classicshades
60, human3, goat / headband / classicshades
61, orange, mohawk2-blonde / goldchain / eyepatch
62, zombie, mohawk / goldchain / skigoogles
63, orc, mohawk / eyepatch
64, alien, wildhair-blonde
65, pink, cowboyhat / clowneyes-blue / clownnose
66, maxibiz, luxuriousbeard / hoodie / classicshades
67, black, mohawk2
68, default, wildhair / eyemask
69, human1, wildhair / classicshades
70, human2, eyemask
71, human3, beard-light / mohawk2-blonde / skigoogles
72, orange, luxuriousbeard-light / wildhair-red / lasereyes3-gold
73, zombie, capforward / earring / eyepatch
74, orc, chinstrap / mohawk-red / vr
75, alien, headband / eyemask
76, pink, beanie / goldchain
