id, type, accessories, background
0, maxibiz, chinstrap / tophat / goldchain, bitcoin orange
1, black, bob / lasereyes2 red, bitcoin pattern
2, default, capforward / earring / polarizedshades, default
3, dark, chinstrap light / wizardhat / earring / lasereyes3 green, green
4, light, chinstrap / cowboyhat / vr, dollar pattern
5, albino, headband / lasereyes3 green, blue
6, orange, mohawk2 blonde / clowneyes / clownnose, euro pattern
7, zombie, mohawk purple, aqua
8, orc, chinstrap light / wildhair red / classicshades, classic
9, alien, bandana / eyemask, rainbow
10, pink, bob blonde / headband / earring, ukraine
11, maxibiz, bandana2, usa
12, black, lasereyes blue, bitcoin orange
13, default, luxuriousbeard / mohawk2 / clowneyes / clownnose, default
14, dark, wildhair red, red
15, light, chinstrap light / mohawk2 blonde / earring / eyepatch, green
16, albino, mohawk purple / clowneyes / clownnose, dollar pattern
17, orange, beard / cap / 3dglasses, blue
18, zombie, luxuriousbeard light / wizardhat / lasereyes3 green, euro pattern
19, orc, luxuriousbeard light / goldchain / 3dglasses, aqua
20, alien, hoodie / lasereyes3 red, classic
21, pink, jesterhat / earring, rainbow
22, maxibiz, mohawk2 / lasereyes blue, ukraine
23, black, mohawk2 / goldchain, usa
24, default, mohawk / clowneyes / clownnose, default
25, dark, eyepatch, bitcoin pattern
26, light, wildhair purple, red
27, albino, chinstrap / eyepatch, green
28, orange, mohawk2 red, dollar pattern
29, zombie, mohawk2 blonde / vr, blue
30, orc, goat / wildhair red / polarizedshades, euro pattern
31, alien, mohawk2 red / polarizedshades, aqua
32, pink, peakspike blonde / bigshades, classic
33, maxibiz, mohawk / clowneyes / clownnose, rainbow
34, black, mohawk / lasereyes2 gold, ukraine
35, default, beard / knittedcap / goldchain / lasereyes2 blue, default
36, dark, peakspike / clowneyes / clownnose, bitcoin orange
37, light, goat / cowboyhat / polarizedshades, bitcoin pattern
38, albino, chinstrap / beanie, red
39, orange, cowboyhat / lasereyes3 gold, green
40, zombie, goat / wildhair blonde / classicshades, dollar pattern
41, orc, tophat / lasereyes3 green, blue
42, alien, crown / 3dglasses, euro pattern
43, pink, earring / eyepatch, aqua
44, maxibiz, cap mcb / eyemask, classic
45, black, bandana2 / lasereyes2 blue, rainbow
46, default, chinstrap / bob / earring, default
47, dark, chinstrap / crown / eyepatch, usa
48, light, bandana2 / eyemask, bitcoin orange
49, albino, wildhair red / coolshades, bitcoin pattern
50, orange, luxuriousbeard / crown / vr, red
51, zombie, bandana2 / lasereyes3 green, green
52, orc, wildhair blonde / goldchain / eyepatch, dollar pattern
53, alien, lasereyes3 green, blue
54, pink, peakspike blonde / goldchain / classicshades, euro pattern
55, maxibiz, bob / eyepatch, aqua
56, black, peakspike / lasereyes2 blue, classic
57, default, hoodie, default
58, dark, knittedcap / eyemask, ukraine
59, light, hoodie / goldchain / classicshades, usa
60, albino, goat / headband / classicshades, bitcoin orange
61, orange, mohawk2 blonde / goldchain / eyepatch, bitcoin pattern
62, zombie, mohawk / goldchain / polarizedshades, red
63, orc, mohawk / eyepatch, green
64, alien, wildhair blonde, dollar pattern
65, pink, cowboyhat / clowneyes blue / clownnose, blue
66, maxibiz, luxuriousbeard / hoodie / classicshades, euro pattern
67, black, mohawk2, aqua
68, default, wildhair / eyemask, default
69, dark, wildhair / classicshades, rainbow
70, light, eyemask, ukraine
71, albino, beard light / mohawk2 blonde / polarizedshades, usa
72, orange, luxuriousbeard light / wildhair red / lasereyes3 gold, bitcoin orange
73, zombie, capforward / earring / eyepatch, bitcoin pattern
74, orc, chinstrap / mohawk red / vr, red
75, alien, headband / eyemask, green
76, pink, beanie / goldchain, dollar pattern
77, maxibiz, lasereyes2 green, blue
78, black, chinstrap / bob, euro pattern
79, default, knittedcap / earring, default
80, dark, eyepatch, classic
81, light, mohawk2 purple / eyemask, rainbow
82, albino, mohawk purple / goldchain / clowneyes / clownnose, ukraine
83, orange, goldchain / polarizedshades, usa
84, zombie, cap / eyepatch, bitcoin orange
85, orc, cowboyhat / pipe / coolshades, bitcoin pattern
86, alien, mohawk blonde / clowneyes / clownnose, red
87, pink, bob blonde / goldchain, green
88, maxibiz, wizardhat / lasereyes2 red, dollar pattern
89, black, wizardhat, blue
90, default, chinstrap / capforward / goldchain / eyemask, default
91, dark, luxuriousbeard / mohawk2 red / polarizedshades, aqua
92, light, mohawk2 blonde / classicshades, classic
93, albino, tophat / vr, rainbow
94, orange, mohawk purple / eyemask, ukraine
95, zombie, goat / peakspike / eyepatch, usa
96, orc, wildhair red, bitcoin orange
97, alien, mohawk blonde / lasereyes3 green, bitcoin pattern
98, pink, mohawk blonde, red
99, maxibiz, goldchain / lasereyes2 green, green
100, black, jesterhat / classicshades, dollar pattern
101, default, wildhair, default
102, dark, goat / mohawk red / eyepatch, euro pattern
103, light, cap mcb, aqua
104, albino, goat / hoodie / clowneyes / clownnose, classic
105, orange, capforward / polarizedshades, rainbow
106, zombie, wildhair / eyemask, ukraine
107, orc, jesterhat, usa
108, alien, headband, bitcoin orange
109, pink, bob blonde / cap small / eyemask, bitcoin pattern
110, maxibiz, mohawk / lasereyes2 green, red
111, black, wizardhat / lasereyes gold, green
112, default, wildhair / goldchain / lasereyes gold, default
113, dark, peakspike / lasereyes3 green, blue
114, light, mohawk / lasereyes3 red, euro pattern
115, albino, earring / classicshades, aqua
116, orange, cap mcb / earring, classic
117, zombie, capforward / lasereyes3 gold, rainbow
118, orc, hoodie / vr, ukraine
119, alien, wildhair blonde, usa
120, pink, bob blonde / headband / earring / clowneyes blue / clownnose, bitcoin orange
121, maxibiz, bob / lasereyes2 red, bitcoin pattern
122, black, mohawk / lasereyes red, red
123, default, peakspike / coolshades, default
124, dark, mohawk blonde / clowneyes / clownnose, dollar pattern
125, light, mohawk2 blonde, blue
126, albino, jesterhat / clowneyes / clownnose, euro pattern
127, orange, tophat / lasereyes3 gold, aqua
128, zombie, mohawk red / 3dglasses, classic
129, orc, wildhair / vr, rainbow
130, alien, classicshades, ukraine
131, pink, bob blonde / headband / goldchain, usa
132, maxibiz, mohawk2 / lasereyes2 gold, bitcoin orange
133, black, wizardhat / earring, bitcoin pattern
134, default, hoodie, default
135, dark, polarizedshades, green
136, light, mohawk2 blonde / lasereyes3 green, dollar pattern
137, albino, cap mcb / lasereyes3 green, blue
138, orange, mohawk2 purple / lasereyes3 red, euro pattern
139, zombie, beard / cap / clowneyes / clownnose, aqua
140, orc, mohawk2 red / clowneyes / clownnose, classic
141, alien, mohawk2 / lasereyes3 red, rainbow
142, pink, mohawk blonde / goldchain, ukraine
143, maxibiz, wizardhat / lasereyes blue, usa
144, black, cowboyhat, bitcoin orange
145, default, lasereyes2 green, default
146, dark, earring / eyemask, red
147, light, wildhair blonde / earring / clowneyes / clownnose, green
148, albino, mohawk purple, dollar pattern
149, orange, peakspike / lasereyes3 red, blue
150, zombie, eyepatch, euro pattern
151, orc, chinstrap light, aqua
152, alien, bandana / 3dglasses, classic
153, pink, earring / 3dglasses, rainbow
